n1, 1, n2, 1.5, n1 / n2, 0.666667
Critical Angle (rad), 1.5708 , 0
Brewster Angle (rad), 0.982794 , 0
angle (rad), r_{TE}, t_{TE}, r_{TM}, t_{TM}
1.08385 , 0.442919 , 0.557081 , 0.0702757 , 0.619816
1.0917 , 0.448038 , 0.551962 , 0.0766272 , 0.615582
1.09956 , 0.453249 , 0.546751 , 0.0831238 , 0.611251
1.10741 , 0.458553 , 0.541447 , 0.0897695 , 0.60682
1.11527 , 0.463952 , 0.536048 , 0.0965682 , 0.602288
1.12312 , 0.469447 , 0.530553 , 0.103524 , 0.597651
1.13097 , 0.475041 , 0.524959 , 0.110641 , 0.592906
1.13883 , 0.480735 , 0.519265 , 0.117923 , 0.588051
1.14668 , 0.48653 , 0.51347 , 0.125376 , 0.583083
1.15454 , 0.492429 , 0.507571 , 0.133003 , 0.577998
1.16239 , 0.498432 , 0.501568 , 0.14081 , 0.572793
1.17024 , 0.504541 , 0.495459 , 0.148802 , 0.567466
1.1781 , 0.510759 , 0.489241 , 0.156982 , 0.562012
1.18595 , 0.517087 , 0.482913 , 0.165358 , 0.556428
1.19381 , 0.523526 , 0.476474 , 0.173933 , 0.550711
1.20166 , 0.530079 , 0.469921 , 0.182715 , 0.544857
1.20951 , 0.536747 , 0.463253 , 0.191708 , 0.538861
1.21737 , 0.543532 , 0.456468 , 0.200919 , 0.532721
1.22522 , 0.550435 , 0.449565 , 0.210353 , 0.526431
1.23308 , 0.55746 , 0.44254 , 0.220018 , 0.519988
1.24093 , 0.564606 , 0.435394 , 0.229919 , 0.513387
1.24878 , 0.571877 , 0.428123 , 0.240065 , 0.506624
1.25664 , 0.579274 , 0.420726 , 0.250461 , 0.499693
1.26449 , 0.586799 , 0.413201 , 0.261115 , 0.49259
1.27235 , 0.594453 , 0.405547 , 0.272035 , 0.48531
1.2802 , 0.60224 , 0.39776 , 0.283229 , 0.477848
1.28805 , 0.610159 , 0.389841 , 0.294704 , 0.470197
1.29591 , 0.618215 , 0.381785 , 0.30647 , 0.462353
1.30376 , 0.626407 , 0.373593 , 0.318535 , 0.45431
1.31161 , 0.634739 , 0.365261 , 0.330909 , 0.446061
1.31947 , 0.643212 , 0.356788 , 0.343599 , 0.4376
1.32732 , 0.651828 , 0.348172 , 0.356618 , 0.428921
1.33518 , 0.660589 , 0.339411 , 0.369974 , 0.420017
1.34303 , 0.669497 , 0.330503 , 0.383678 , 0.410881
1.35088 , 0.678553 , 0.321447 , 0.397741 , 0.401506
1.35874 , 0.687761 , 0.312239 , 0.412175 , 0.391883
1.36659 , 0.697121 , 0.302879 , 0.426992 , 0.382006
1.37445 , 0.706635 , 0.293365 , 0.442203 , 0.371865
1.3823 , 0.716306 , 0.283694 , 0.457821 , 0.361453
1.39015 , 0.726135 , 0.273865 , 0.47386 , 0.35076
1.39801 , 0.736124 , 0.263876 , 0.490334 , 0.339777
1.40586 , 0.746275 , 0.253725 , 0.507257 , 0.328495
1.41372 , 0.75659 , 0.24341 , 0.524645 , 0.316904
1.42157 , 0.767071 , 0.232929 , 0.542512 , 0.304992
1.42942 , 0.77772 , 0.22228 , 0.560875 , 0.29275
1.43728 , 0.788537 , 0.211463 , 0.579751 , 0.280166
1.44513 , 0.799526 , 0.200474 , 0.599158 , 0.267228
1.45299 , 0.810688 , 0.189312 , 0.619115 , 0.253924
1.46084 , 0.822025 , 0.177975 , 0.63964 , 0.24024
1.46869 , 0.833538 , 0.166462 , 0.660754 , 0.226164
1.47655 , 0.845229 , 0.154771 , 0.682479 , 0.211681
1.4844 , 0.8571 , 0.1429 , 0.704836 , 0.196776
1.49226 , 0.869152 , 0.130848 , 0.727849 , 0.181434
1.50011 , 0.881388 , 0.118612 , 0.751542 , 0.165639
1.50796 , 0.893808 , 0.106192 , 0.775939 , 0.149374
1.51582 , 0.906415 , 0.0935853 , 0.801069 , 0.132621
1.52367 , 0.919209 , 0.0807909 , 0.826958 , 0.115361
1.53153 , 0.932193 , 0.0678072 , 0.853637 , 0.0975757
1.53938 , 0.945367 , 0.0546328 , 0.881135 , 0.0792434
1.54723 , 0.958734 , 0.0412662 , 0.909485 , 0.060343
1.55509 , 0.972294 , 0.0277061 , 0.938722 , 0.0408518
1.56294 , 0.986049 , 0.0139511 , 0.968881 , 0.0207458
1.5708 , 1 , 1.00397e-14 , 1 , 1.50595e-14
1.57865 , 1.01415 , 0.0141485 , 1.03212 , 0.0214121
